P_NAME,P_HABZONE,P_TYPE_TEMP,P_TYPE
HD 156279 c,0,Cold,Jovian
HD 156411 b,1,Warm,Jovian
HD 156668 b,0,Hot,Terran
HD 156846 b,0,Hot,Jovian
HD 158038 b,0,Hot,Jovian
HD 158996 b,0,Hot,Jovian
HD 159243 b,0,Hot,Jovian
HD 159243 c,0,Hot,Jovian
HD 159868 b,2,Warm,Jovian
HD 159868 c,0,Hot,Jovian
HD 1605 b,0,Hot,Jovian
HD 1605 c,2,Warm,Jovian
HD 160691 b,0,,Jovian
HD 160691 c,0,,Jovian
HD 160691 d,0,,Neptunian
HD 160691 e,0,,Jovian
HD 16141 b,0,Hot,Jovian
HD 16175 b,2,Warm,Jovian
HD 162020 b,0,Hot,Jovian
HD 163607 b,0,Hot,Jovian
HD 163607 c,2,Warm,Jovian
HD 16417 b,0,,Neptunian
HD 164509 b,1,Warm,Jovian
HD 164595 b,0,Hot,Neptunian
HD 164604 b,0,,Jovian
HD 164922 b,0,Cold,Jovian
HD 164922 c,0,Hot,Neptunian
HD 165155 b,2,Warm,Jovian
HD 1666 b,0,Hot,Jovian
HD 166724 b,0,Cold,Jovian
HD 167042 b,0,Hot,Jovian
HD 168443 b,0,Hot,Jovian
HD 168443 c,0,Cold,Jovian
HD 168746 b,0,Hot,Jovian
HD 1690 b,0,Hot,Jovian
HD 169830 b,0,Hot,Jovian
HD 169830 c,0,Cold,Jovian
HD 170469 b,0,Cold,Jovian
HD 17092 b,0,Hot,Jovian
HD 171028 b,0,Hot,Jovian
HD 171238 b,0,Cold,Jovian
HD 17156 b,0,Hot,Jovian
HD 173416 b,0,Hot,Jovian
HD 175167 b,2,Warm,Jovian
HD 175541 b,0,Hot,Jovian
HD 175607 b,0,Hot,Superterran
HD 17674 b,2,Warm,Jovian
HD 176986 b,0,Hot,Superterran
HD 176986 c,0,Hot,Superterran
HD 177565 b,0,,Neptunian
HD 177830 b,0,Hot,Jovian
HD 177830 c,0,Hot,Neptunian
HD 178911 B b,0,Hot,Jovian
HD 179079 b,0,Hot,Neptunian
HD 179949 b,0,Hot,Jovian
HD 180053 b,0,Hot,Jovian
HD 18015 b,2,Warm,Jovian
HD 180314 b,0,Hot,Jovian
HD 180617 b,2,Warm,Neptunian
HD 180902 b,0,Hot,Jovian
HD 181234 b,0,Cold,Jovian
HD 181342 b,0,Hot,Jovian
HD 181433 b,0,Hot,Superterran
HD 181433 c,0,Cold,Jovian
HD 181433 d,0,Cold,Jovian
HD 181720 b,2,Warm,Jovian
HD 183263 b,2,Warm,Jovian
HD 183263 c,0,Cold,Jovian
HD 185269 b,0,Hot,Jovian
HD 187085 b,2,Warm,Jovian
HD 187123 b,0,,Jovian
HD 187123 c,0,,Jovian
HD 18742 b,0,Hot,Jovian
HD 188015 b,2,Warm,Jovian
HD 189733 b,0,Hot,Jovian
HD 190360 b,0,Cold,Jovian
HD 190360 c,0,Hot,Neptunian
HD 190647 b,1,Warm,Jovian
HD 190984 b,0,Cold,Jovian
HD 191806 b,0,Cold,Jovian
HD 192263 b,0,Hot,Jovian
HD 192310 b,0,Hot,Neptunian
HD 192310 c,1,Warm,Neptunian
HD 192699 b,0,Hot,Jovian
HD 195019 b,0,Hot,Jovian
HD 196050 b,1,Warm,Jovian
HD 196067 b,0,Cold,Jovian
HD 196885 b,2,Warm,Jovian
HD 197037 b,1,Warm,Jovian
HD 19994 b,0,,Jovian
HD 20003 b,0,Hot,Neptunian
HD 20003 c,0,Hot,Neptunian
HD 200964 b,0,Hot,Jovian
HD 200964 c,0,Hot,Jovian
HD 202206 c,0,Cold,Jovian
HD 202696 b,0,Hot,Jovian
HD 202696 c,0,Hot,Jovian
HD 202772 A b,0,Hot,Jovian
HD 203030 b,0,,Jovian
HD 203473 b,0,Cold,Jovian
HD 2039 b,0,Cold,Jovian
HD 204313 b,0,Cold,Jovian
HD 204313 c,0,Hot,Neptunian
HD 204941 b,0,Cold,Jovian
HD 205739 b,0,Hot,Jovian
HD 206255 b,0,,Neptunian
HD 206610 b,0,Hot,Jovian
HD 20781 b,0,Hot,Terran
HD 20781 c,0,Hot,Superterran
HD 20781 d,0,Hot,Neptunian
HD 20781 e,0,Hot,Neptunian
HD 20782 b,2,Warm,Jovian
HD 207832 b,0,Hot,Jovian
