pl_name,host_star,pl_ltr,sys_stars,sys_planets,sys_moons,disc_method,disc_year,disc_location,disc_facility,orb_period,pl_radius_e,pl_mass_e,pl_density,pl_insol,pl_temp_k,st_type,st_temp_k,st_radius_s,st_mass_s,st_bright,st_gravity,st_age,st_density,ga_lat,ga_long,distance,habit_code,P_HABZONE,P_TYPE_TEMP,P_TYPE
Kepler-242 b,Kepler-242,b,1,2,0,Transit,2014,Space,Kepler,8.20395,2.61,7.32,2.26,43.77,742.0,,5020.0,0.85,0.81,-0.613,4.49,14.0,0.65082,15.13516,72.52885,600.241,0.0,0.0,Hot,Neptunian
Kepler-242 c,Kepler-242,c,1,2,0,Transit,2014,Space,Kepler,14.496481,2.0,4.66,3.2,20.5,613.0,,5020.0,0.85,0.81,-0.613,4.49,14.0,0.1374,15.13516,72.52885,600.241,0.0,0.0,Hot,Superterran
Kepler-243 b,Kepler-243,b,1,2,0,Transit,2014,Space,Kepler,5.7154419999999995,2.45,6.57,2.45,115.5,850.0,,5228.0,0.84,0.83,-0.373,4.57,3.5,3.25264,16.22138,72.3127,693.86,0.0,0.0,Hot,Superterran
Kepler-243 c,Kepler-243,c,1,2,0,Transit,2014,Space,Kepler,20.026218,1.99,4.62,3.22,21.72,559.0,,5228.0,0.84,0.83,-0.373,4.57,3.5,2.00738,16.22138,72.3127,693.86,0.0,0.0,Hot,Superterran
Kepler-244 b,Kepler-244,b,1,3,0,Transit,2014,Space,Kepler,4.311792,2.76,8.05,2.1,242.47,1038.0,,5554.0,0.8,0.96,-0.256,4.58,0.5,1.86883,14.867420000000001,73.20295,1036.49,0.0,0.0,Hot,Neptunian
Kepler-244 c,Kepler-244,c,1,3,0,Transit,2014,Space,Kepler,9.767292,2.05,4.86,3.1,81.57,791.0,,5554.0,0.8,0.96,-0.256,4.58,0.5,23.675629999999998,14.867420000000001,73.20295,1036.49,0.0,0.0,Hot,Superterran
Kepler-244 d,Kepler-244,d,1,3,0,Transit,2014,Space,Kepler,20.050401,2.31,15.2,6.78,31.27,622.0,,5554.0,0.8,0.96,-0.256,4.58,0.5,1.54536,14.867420000000001,73.20295,1036.49,0.0,0.0,Hot,Superterran
Kepler-245 b,Kepler-245,b,1,4,0,Transit,2014,Space,Kepler,7.490189999999999,2.57,7.13,2.31,77.75,753.0,,5100.0,0.8,0.86,-0.396,4.56,3.63,3.28779,11.971789999999999,74.72151,861.5269999999999,0.0,0.0,Hot,Neptunian
Kepler-245 c,Kepler-245,c,1,4,0,Transit,2014,Space,Kepler,17.460812,2.18,225.6,120.0,25.15,568.0,,5100.0,0.8,0.86,-0.396,4.56,3.63,13.613370000000002,11.971789999999999,74.72151,861.5269999999999,0.0,0.0,Hot,Superterran
Kepler-245 d,Kepler-245,d,1,4,0,Transit,2014,Space,Kepler,36.277108,3.03,21.6,4.27,9.49,445.0,,5100.0,0.8,0.86,-0.396,4.56,3.63,3.2858400000000003,11.971789999999999,74.72151,861.5269999999999,0.0,0.0,Hot,Neptunian
Kepler-245 e,Kepler-245,e,1,4,0,Transit,2016,Space,Kepler,3.21982106,1.75,3.71,3.8,240.15,998.0,,5174.0,0.8,0.86,-0.396,4.57,3.63,3.03525,11.971789999999999,74.72151,861.5269999999999,0.0,0.0,,Superterran
Kepler-246 b,Kepler-246,b,1,2,0,Transit,2014,Space,Kepler,4.60182,2.34,6.08,2.61,141.61,896.0,,5206.0,0.83,0.79,-0.413,4.56,12.6,2.1623200000000002,8.908752,76.59739,626.078,0.0,0.0,Hot,Superterran
Kepler-246 c,Kepler-246,c,1,2,0,Transit,2014,Space,Kepler,11.187161,1.5,2.86,4.66,43.21,667.0,,5206.0,0.83,0.79,-0.413,4.56,12.6,2.2840599999999998,8.908752,76.59739,626.078,0.0,0.0,Hot,Superterran
Kepler-247 b,Kepler-247,b,1,3,0,Transit,2014,Space,Kepler,3.33616,1.64,3.33,4.15,216.11,970.0,,5100.0,0.77,0.84,-0.42200000000000004,4.61,0.8,3.12818,14.22115,74.32815,663.711,0.0,0.0,Hot,Superterran
Kepler-247 c,Kepler-247,c,1,3,0,Transit,2014,Space,Kepler,9.439452000000001,4.09,15.7,1.26,53.9,686.0,,5100.0,0.77,0.84,-0.42200000000000004,4.61,0.8,3.7665699999999998,14.22115,74.32815,663.711,0.0,0.0,Hot,Neptunian
Kepler-247 d,Kepler-247,d,1,3,0,Transit,2014,Space,Kepler,20.477912,3.94,14.7,1.32,19.21,530.0,,5100.0,0.77,0.84,-0.42200000000000004,4.61,0.8,5.64738,14.22115,74.32815,663.711,0.0,0.0,Hot,Neptunian
Kepler-248 b,Kepler-248,b,1,2,0,Transit,2014,Space,Kepler,6.308205,3.02,9.38,1.87,79.31,819.0,,5190.0,0.83,0.9,-0.418,4.57,2.34,1.6353,11.546330000000001,76.24058000000001,738.7919999999999,0.0,0.0,Hot,Neptunian
Kepler-248 c,Kepler-248,c,1,2,0,Transit,2014,Space,Kepler,16.239494,4.07,15.6,1.27,22.46,598.0,,5190.0,0.83,0.9,-0.418,4.57,2.34,2.35482,11.546330000000001,76.24058000000001,738.7919999999999,0.0,0.0,Hot,Neptunian
Kepler-249 b,Kepler-249,b,1,3,0,Transit,2014,Space,Kepler,3.306539,1.09,1.32,5.6,24.26,554.0,M2 V,3568.0,0.48,0.51,-1.495,4.78,3.09,5.3449800000000005,9.070818,77.65822,190.40099999999998,0.0,0.0,Hot,Terran
Kepler-249 c,Kepler-249,c,1,3,0,Transit,2014,Space,Kepler,7.113702,1.51,2.89,4.61,12.53,429.0,M2 V,3568.0,0.48,0.51,-1.495,4.78,3.09,5.3449800000000005,9.070818,77.65822,190.40099999999998,0.0,0.0,Hot,Superterran
Kepler-249 d,Kepler-249,d,1,3,0,Transit,2014,Space,Kepler,15.368459,1.57,3.09,4.39,4.47,332.0,M2 V,3568.0,0.48,0.51,-1.495,4.78,3.09,5.3449800000000005,9.070818,77.65822,190.40099999999998,0.0,0.0,Hot,Superterran
Kepler-25 b,Kepler-25,b,2,3,0,Transit,2011,Space,Kepler,6.238297,2.748,8.7,2.32,542.96,1185.0,,6103.0,1.32,1.17,0.38299999999999995,4.28,4.65,0.75,14.16402,70.34969,243.24900000000002,0.0,0.0,Hot,Neptunian
Kepler-25 c,Kepler-25,c,2,3,0,Transit,2011,Space,Kepler,12.7207,5.2170000000000005,15.2,0.588,210.17,934.0,,6354.0,1.32,1.17,0.38299999999999995,4.29,2.75,0.75,14.16402,70.34969,243.24900000000002,0.0,0.0,Hot,Neptunian
Kepler-25 d,Kepler-25,d,2,3,0,Radial Velocity,2014,Ground,W. M. Keck Observatory,122.4,10.0,71.9,0.395,,,,6270.0,1.32,1.17,0.38299999999999995,4.28,11.0,0.75,14.16402,70.34969,243.24900000000002,0.0,0.0,Hot,Jovian
Kepler-250 b,Kepler-250,b,1,3,0,Transit,2014,Space,Kepler,4.148141000000001,1.13,1.51,5.75,148.1,938.0,,5160.0,0.81,0.83,-0.457,4.57,13.2,2.20456,14.043579999999999,75.65673000000001,760.585,0.0,0.0,Hot,Terran
Kepler-250 c,Kepler-250,c,1,3,0,Transit,2014,Space,Kepler,7.156803999999999,2.28,5.82,2.7,71.5,782.0,,5160.0,0.81,0.83,-0.457,4.57,13.2,3.3902400000000004,14.043579999999999,75.65673000000001,760.585,0.0,0.0,Hot,Superterran
Kepler-250 d,Kepler-250,d,1,3,0,Transit,2014,Space,Kepler,17.648312,2.18,5.39,2.86,21.46,579.0,,5160.0,0.81,0.83,-0.457,4.57,13.2,19.29835,14.043579999999999,75.65673000000001,760.585,0.0,0.0,Hot,Superterran
Kepler-251 b,Kepler-251,b,1,4,0,Transit,2014,Space,Kepler,4.790936,1.33,2.33,5.44,203.17,990.0,,5526.0,0.89,0.95,-0.172,4.49,3.63,2.12141,9.551344,77.90716,924.625,0.0,0.0,Hot,Terran
Kepler-251 c,Kepler-251,c,1,4,0,Transit,2014,Space,Kepler,16.514043,2.77,8.1,2.09,38.95,655.0,,5526.0,0.89,0.95,-0.172,4.49,3.63,1.6631099999999999,9.551344,77.90716,924.625,0.0,0.0,Hot,Neptunian
